                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1177,                 2.7089,                 1.4084,                0.38335,                0.41754,                0.36648,                0.17834,                 1.5242,                 2.8492,                 1.8333,             0.00041468,             0.00041468,             0.00041468
                      1,                 1.1224,                 2.3436,                 1.4001,                0.28644,                0.38888,                0.29862,                0.13897,                  1.705,                 2.8252,                 1.8977,              0.0007902,              0.0007902,              0.0007902
                      2,                 1.1505,                 2.2896,                 1.4122,                0.31955,                0.44431,                0.29869,                0.13552,                 1.6362,                 3.0967,                  2.008,              0.0011245,              0.0011245,              0.0011245
                      3,                 1.0987,                 2.1525,                 1.3958,                0.35471,                0.58847,                0.45974,                0.23849,                 1.4817,                 2.3748,                 1.7886,              0.0010644,              0.0010644,              0.0010644
                      4,                 1.1032,                 2.0884,                 1.3777,                0.35167,                 0.5757,                0.46123,                0.24972,                 1.4014,                 2.1889,                 1.7171,              0.0010644,              0.0010644,              0.0010644
                      5,                 1.0696,                 2.0124,                 1.3508,                0.53049,                0.60105,                0.50982,                0.26659,                 1.4761,                 2.1401,                 1.6925,              0.0010025,              0.0010025,              0.0010025
                      6,                 1.0399,                 1.9592,                 1.3399,                 0.3384,                0.71323,                0.53118,                0.29314,                 1.3661,                 2.0327,                 1.6062,             0.00094062,             0.00094062,             0.00094062
                      7,                 1.0148,                 1.9162,                 1.3256,                0.45067,                0.66821,                0.55632,                0.31596,                  1.306,                 1.8862,                 1.5324,             0.00087875,             0.00087875,             0.00087875
                      8,                0.98709,                 1.8742,                 1.2993,                0.46577,                0.63445,                 0.5248,                 0.3038,                 1.3486,                 1.7852,                 1.5864,             0.00081688,             0.00081688,             0.00081688
                      9,                0.96399,                 1.8288,                 1.2878,                0.54269,                0.75746,                0.64007,                0.38014,                 1.3034,                  1.516,                 1.5053,               0.000755,               0.000755,               0.000755
                     10,                0.98273,                 1.8237,                 1.3376,                0.54618,                0.67071,                0.62201,                 0.3743,                 1.3203,                 1.5665,                  1.584,             0.00069313,             0.00069313,             0.00069313
                     11,                0.96286,                 1.7534,                 1.3337,                0.50504,                0.73184,                0.60907,                 0.3606,                 1.2904,                 1.5609,                 1.4957,             0.00063125,             0.00063125,             0.00063125
                     12,                0.95127,                 1.6896,                 1.3088,                 0.5787,                0.76783,                0.72064,                0.45712,                 1.1175,                 1.3237,                 1.3571,             0.00056938,             0.00056938,             0.00056938
                     13,                0.91612,                 1.6514,                 1.2968,                0.70349,                0.68023,                0.73851,                0.48251,                 1.1479,                 1.3089,                 1.3952,              0.0005075,              0.0005075,              0.0005075
                     14,                0.89614,                 1.6062,                 1.2836,                0.77432,                0.68001,                0.77335,                0.51754,                 1.1511,                 1.1982,                 1.3595,             0.00044563,             0.00044563,             0.00044563
                     15,                0.87508,                 1.5839,                 1.2717,                0.70376,                 0.7956,                0.83105,                0.54395,                 1.1426,                 1.1667,                 1.3653,             0.00038375,             0.00038375,             0.00038375
                     16,                0.86683,                 1.5485,                 1.2665,                0.83988,                0.80133,                0.87905,                0.61365,                 1.0514,                 1.0262,                 1.2584,             0.00032188,             0.00032188,             0.00032188
                     17,                 0.8567,                 1.5246,                 1.2574,                 0.8551,                0.82235,                0.88045,                0.60596,                 1.0782,                0.94355,                 1.2854,                0.00026,                0.00026,                0.00026
                     18,                0.82742,                 1.4723,                 1.2328,                0.87332,                0.78364,                0.87695,                 0.6177,                 1.0369,                 1.0017,                 1.2654,             0.00019813,             0.00019813,             0.00019813
                     19,                0.80785,                 1.4611,                 1.2099,                0.83909,                0.84421,                0.88401,                0.63307,                 1.0155,                0.88902,                 1.2336,             0.00013625,             0.00013625,             0.00013625
